,train,val
0,"tensor(65.1294, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
1,"tensor(65.1294, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
2,"tensor(65.1294, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
3,"tensor(65.1294, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
4,"tensor(68.2790, dtype=torch.float64)","tensor(65., dtype=torch.float64)"
5,"tensor(70.1912, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
6,"tensor(72.1035, dtype=torch.float64)","tensor(68.7500, dtype=torch.float64)"
7,"tensor(74.9156, dtype=torch.float64)","tensor(70., dtype=torch.float64)"
8,"tensor(76.3780, dtype=torch.float64)","tensor(70., dtype=torch.float64)"
9,"tensor(79.8650, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
10,"tensor(79.6400, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
11,"tensor(80.8774, dtype=torch.float64)","tensor(66.2500, dtype=torch.float64)"
12,"tensor(79.8650, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
13,"tensor(85.4893, dtype=torch.float64)","tensor(65., dtype=torch.float64)"
14,"tensor(86.3892, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
15,"tensor(87.5141, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
16,"tensor(88.9764, dtype=torch.float64)","tensor(76.2500, dtype=torch.float64)"
17,"tensor(87.0641, dtype=torch.float64)","tensor(71.2500, dtype=torch.float64)"
18,"tensor(93.0259, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
19,"tensor(92.3510, dtype=torch.float64)","tensor(71.2500, dtype=torch.float64)"
20,"tensor(93.4758, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
21,"tensor(92.5759, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
22,"tensor(94.3757, dtype=torch.float64)","tensor(78.7500, dtype=torch.float64)"
23,"tensor(94.7132, dtype=torch.float64)","tensor(78.7500, dtype=torch.float64)"
24,"tensor(95.5006, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
25,"tensor(95.5006, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
26,"tensor(95.7255, dtype=torch.float64)","tensor(68.7500, dtype=torch.float64)"
27,"tensor(96.6254, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
28,"tensor(97.1879, dtype=torch.float64)","tensor(71.2500, dtype=torch.float64)"
29,"tensor(96.0630, dtype=torch.float64)","tensor(68.7500, dtype=torch.float64)"
30,"tensor(97.7503, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
31,"tensor(97.7503, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
32,"tensor(97.6378, dtype=torch.float64)","tensor(68.7500, dtype=torch.float64)"
33,"tensor(97.8628, dtype=torch.float64)","tensor(70., dtype=torch.float64)"
34,"tensor(98.4252, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
35,"tensor(98.4252, dtype=torch.float64)","tensor(71.2500, dtype=torch.float64)"
36,"tensor(98.5377, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
37,"tensor(98.9876, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
38,"tensor(98.5377, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
39,"tensor(98.9876, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
40,"tensor(98.6502, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
41,"tensor(98.7627, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
42,"tensor(98.7627, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
43,"tensor(99.2126, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
44,"tensor(98.9876, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
45,"tensor(98.9876, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
46,"tensor(99.2126, dtype=torch.float64)","tensor(68.7500, dtype=torch.float64)"
47,"tensor(98.9876, dtype=torch.float64)","tensor(75., dtype=torch.float64)"
48,"tensor(98.6502, dtype=torch.float64)","tensor(72.5000, dtype=torch.float64)"
49,"tensor(98.9876, dtype=torch.float64)","tensor(73.7500, dtype=torch.float64)"
