,train,val
0,"tensor(32.3960, dtype=torch.float64)","tensor(37.5000, dtype=torch.float64)"
1,"tensor(34.0832, dtype=torch.float64)","tensor(33.7500, dtype=torch.float64)"
2,"tensor(38.6952, dtype=torch.float64)","tensor(41.2500, dtype=torch.float64)"
3,"tensor(44.5444, dtype=torch.float64)","tensor(41.2500, dtype=torch.float64)"
4,"tensor(45.3318, dtype=torch.float64)","tensor(51.2500, dtype=torch.float64)"
5,"tensor(51.0686, dtype=torch.float64)","tensor(47.5000, dtype=torch.float64)"
6,"tensor(55.4556, dtype=torch.float64)","tensor(57.5000, dtype=torch.float64)"
7,"tensor(57.1429, dtype=torch.float64)","tensor(53.7500, dtype=torch.float64)"
8,"tensor(61.4173, dtype=torch.float64)","tensor(58.7500, dtype=torch.float64)"
9,"tensor(61.1924, dtype=torch.float64)","tensor(53.7500, dtype=torch.float64)"
10,"tensor(65.0169, dtype=torch.float64)","tensor(56.2500, dtype=torch.float64)"
11,"tensor(65.1294, dtype=torch.float64)","tensor(48.7500, dtype=torch.float64)"
12,"tensor(67.1541, dtype=torch.float64)","tensor(55.0000, dtype=torch.float64)"
13,"tensor(69.5163, dtype=torch.float64)","tensor(51.2500, dtype=torch.float64)"
14,"tensor(72.1035, dtype=torch.float64)","tensor(52.5000, dtype=torch.float64)"
15,"tensor(74.4657, dtype=torch.float64)","tensor(52.5000, dtype=torch.float64)"
16,"tensor(76.4904, dtype=torch.float64)","tensor(52.5000, dtype=torch.float64)"
17,"tensor(78.0652, dtype=torch.float64)","tensor(48.7500, dtype=torch.float64)"
18,"tensor(82.1147, dtype=torch.float64)","tensor(56.2500, dtype=torch.float64)"
19,"tensor(82.9021, dtype=torch.float64)","tensor(55.0000, dtype=torch.float64)"
20,"tensor(86.2767, dtype=torch.float64)","tensor(56.2500, dtype=torch.float64)"
21,"tensor(84.7019, dtype=torch.float64)","tensor(57.5000, dtype=torch.float64)"
22,"tensor(89.0889, dtype=torch.float64)","tensor(58.7500, dtype=torch.float64)"
23,"tensor(90.2137, dtype=torch.float64)","tensor(60., dtype=torch.float64)"
24,"tensor(89.7638, dtype=torch.float64)","tensor(58.7500, dtype=torch.float64)"
25,"tensor(92.8009, dtype=torch.float64)","tensor(56.2500, dtype=torch.float64)"
26,"tensor(93.0259, dtype=torch.float64)","tensor(52.5000, dtype=torch.float64)"
27,"tensor(92.0135, dtype=torch.float64)","tensor(60., dtype=torch.float64)"
28,"tensor(93.5883, dtype=torch.float64)","tensor(57.5000, dtype=torch.float64)"
29,"tensor(94.0382, dtype=torch.float64)","tensor(56.2500, dtype=torch.float64)"
30,"tensor(94.8256, dtype=torch.float64)","tensor(56.2500, dtype=torch.float64)"
31,"tensor(95.7255, dtype=torch.float64)","tensor(55.0000, dtype=torch.float64)"
32,"tensor(96.0630, dtype=torch.float64)","tensor(57.5000, dtype=torch.float64)"
33,"tensor(96.4004, dtype=torch.float64)","tensor(58.7500, dtype=torch.float64)"
34,"tensor(97.0754, dtype=torch.float64)","tensor(57.5000, dtype=torch.float64)"
35,"tensor(97.4128, dtype=torch.float64)","tensor(60., dtype=torch.float64)"
36,"tensor(97.6378, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
37,"tensor(97.3003, dtype=torch.float64)","tensor(61.2500, dtype=torch.float64)"
38,"tensor(96.9629, dtype=torch.float64)","tensor(60., dtype=torch.float64)"
39,"tensor(97.5253, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
40,"tensor(97.5253, dtype=torch.float64)","tensor(61.2500, dtype=torch.float64)"
41,"tensor(98.6502, dtype=torch.float64)","tensor(60., dtype=torch.float64)"
42,"tensor(98.2002, dtype=torch.float64)","tensor(61.2500, dtype=torch.float64)"
43,"tensor(98.3127, dtype=torch.float64)","tensor(57.5000, dtype=torch.float64)"
44,"tensor(98.6502, dtype=torch.float64)","tensor(61.2500, dtype=torch.float64)"
45,"tensor(98.8751, dtype=torch.float64)","tensor(60., dtype=torch.float64)"
46,"tensor(98.4252, dtype=torch.float64)","tensor(58.7500, dtype=torch.float64)"
47,"tensor(98.7627, dtype=torch.float64)","tensor(62.5000, dtype=torch.float64)"
48,"tensor(98.5377, dtype=torch.float64)","tensor(60., dtype=torch.float64)"
49,"tensor(98.6502, dtype=torch.float64)","tensor(58.7500, dtype=torch.float64)"
